Data,Hora,Preco
2025-05-01,1,29.2
2025-05-01,2,29.2
2025-05-01,3,29.2
2025-05-01,4,29.2
2025-05-01,5,22.66
2025-05-01,6,22.66
2025-05-01,7,22.66
2025-05-01,8,22.66
2025-05-01,9,22.59
2025-05-01,10,22.59
2025-05-01,11,22.59
2025-05-01,12,22.59
2025-05-01,13,23.22
2025-05-01,14,23.22
2025-05-01,15,23.22
2025-05-01,16,23.22
2025-05-01,17,22.59
2025-05-01,18,22.59
2025-05-01,19,22.59
2025-05-01,20,22.59
2025-05-01,21,27.2
2025-05-01,22,27.2
2025-05-01,23,27.2
2025-05-01,24,27.2
2025-05-01,25,28.16
2025-05-01,26,28.16
2025-05-01,27,28.16
2025-05-01,28,28.16
2025-05-01,29,23.02
2025-05-01,30,23.02
2025-05-01,31,23.02
2025-05-01,32,23.02
2025-05-01,33,18.39
2025-05-01,34,18.39
2025-05-01,35,18.39
2025-05-01,36,18.39
2025-05-01,37,17.95
2025-05-01,38,17.95
2025-05-01,39,17.95
2025-05-01,40,17.95
2025-05-01,41,5.79
2025-05-01,42,5.79
2025-05-01,43,5.79
2025-05-01,44,5.79
2025-05-01,45,5.1
2025-05-01,46,5.1
2025-05-01,47,5.1
2025-05-01,48,5.1
2025-05-01,49,5.1
2025-05-01,50,5.1
2025-05-01,51,5.1
2025-05-01,52,5.1
2025-05-01,53,5.0
2025-05-01,54,5.0
2025-05-01,55,5.0
2025-05-01,56,5.0
2025-05-01,57,4.89
2025-05-01,58,4.89
2025-05-01,59,4.89
2025-05-01,60,4.89
2025-05-01,61,4.68
2025-05-01,62,4.68
2025-05-01,63,4.68
2025-05-01,64,4.68
2025-05-01,65,4.89
2025-05-01,66,4.89
2025-05-01,67,4.89
2025-05-01,68,4.89
2025-05-01,69,5.1
2025-05-01,70,5.1
2025-05-01,71,5.1
2025-05-01,72,5.1
2025-05-01,73,7.5
2025-05-01,74,7.5
2025-05-01,75,7.5
2025-05-01,76,7.5
2025-05-01,77,15.0
2025-05-01,78,15.0
2025-05-01,79,15.0
2025-05-01,80,15.0
2025-05-01,81,30.0
2025-05-01,82,30.0
2025-05-01,83,30.0
2025-05-01,84,30.0
2025-05-01,85,55.0
2025-05-01,86,55.0
2025-05-01,87,55.0
2025-05-01,88,55.0
2025-05-01,89,35.5
2025-05-01,90,35.5
2025-05-01,91,35.5
2025-05-01,92,35.5
2025-05-01,93,33.87
2025-05-01,94,33.87
2025-05-01,95,33.87
2025-05-01,96,33.87
2025-05-02,1,13.04
2025-05-02,2,13.04
2025-05-02,3,13.04
2025-05-02,4,13.04
2025-05-02,5,5.11
2025-05-02,6,5.11
2025-05-02,7,5.11
2025-05-02,8,5.11
2025-05-02,9,2.8
2025-05-02,10,2.8
2025-05-02,11,2.8
2025-05-02,12,2.8
2025-05-02,13,2.5
2025-05-02,14,2.5
2025-05-02,15,2.5
2025-05-02,16,2.5
2025-05-02,17,2.5
2025-05-02,18,2.5
2025-05-02,19,2.5
2025-05-02,20,2.5
2025-05-02,21,3.17
2025-05-02,22,3.17
2025-05-02,23,3.17
2025-05-02,24,3.17
2025-05-02,25,7.96
2025-05-02,26,7.96
2025-05-02,27,7.96
2025-05-02,28,7.96
2025-05-02,29,7.96
2025-05-02,30,7.96
2025-05-02,31,7.96
2025-05-02,32,7.96
2025-05-02,33,14.0
2025-05-02,34,14.0
2025-05-02,35,14.0
2025-05-02,36,14.0
2025-05-02,37,13.95
2025-05-02,38,13.95
2025-05-02,39,13.95
2025-05-02,40,13.95
2025-05-02,41,14.95
2025-05-02,42,14.95
2025-05-02,43,14.95
2025-05-02,44,14.95
2025-05-02,45,11.0
2025-05-02,46,11.0
2025-05-02,47,11.0
2025-05-02,48,11.0
2025-05-02,49,5.79
2025-05-02,50,5.79
2025-05-02,51,5.79
2025-05-02,52,5.79
2025-05-02,53,4.31
2025-05-02,54,4.31
2025-05-02,55,4.31
2025-05-02,56,4.31
2025-05-02,57,3.17
2025-05-02,58,3.17
2025-05-02,59,3.17
2025-05-02,60,3.17
2025-05-02,61,3.17
2025-05-02,62,3.17
2025-05-02,63,3.17
2025-05-02,64,3.17
2025-05-02,65,3.17
2025-05-02,66,3.17
2025-05-02,67,3.17
2025-05-02,68,3.17
2025-05-02,69,4.31
2025-05-02,70,4.31
2025-05-02,71,4.31
2025-05-02,72,4.31
2025-05-02,73,5.79
2025-05-02,74,5.79
2025-05-02,75,5.79
2025-05-02,76,5.79
2025-05-02,77,15.29
2025-05-02,78,15.29
2025-05-02,79,15.29
2025-05-02,80,15.29
2025-05-02,81,35.01
2025-05-02,82,35.01
2025-05-02,83,35.01
2025-05-02,84,35.01
2025-05-02,85,63.62
2025-05-02,86,63.62
2025-05-02,87,63.62
2025-05-02,88,63.62
2025-05-02,89,52.05
2025-05-02,90,52.05
2025-05-02,91,52.05
2025-05-02,92,52.05
2025-05-02,93,41.05
2025-05-02,94,41.05
2025-05-02,95,41.05
2025-05-02,96,41.05
2025-05-03,1,36.13
2025-05-03,2,36.13
2025-05-03,3,36.13
2025-05-03,4,36.13
2025-05-03,5,26.0
2025-05-03,6,26.0
2025-05-03,7,26.0
2025-05-03,8,26.0
2025-05-03,9,16.16
2025-05-03,10,16.16
2025-05-03,11,16.16
2025-05-03,12,16.16
2025-05-03,13,13.89
2025-05-03,14,13.89
2025-05-03,15,13.89
2025-05-03,16,13.89
2025-05-03,17,13.37
2025-05-03,18,13.37
2025-05-03,19,13.37
2025-05-03,20,13.37
2025-05-03,21,15.17
2025-05-03,22,15.17
