date,global_tilted_irradiance,temperature_2m
2025-04-30 23:00:00+00:00,0.0,17.6
2025-04-30 23:15:00+00:00,0.0,17.6
2025-04-30 23:30:00+00:00,0.0,17.65
2025-04-30 23:45:00+00:00,0.0,17.7
2025-05-01 00:00:00+00:00,0.0,17.75
2025-05-01 00:15:00+00:00,0.0,17.75
2025-05-01 00:30:00+00:00,0.0,17.75
2025-05-01 00:45:00+00:00,0.0,17.75
2025-05-01 01:00:00+00:00,0.0,17.75
2025-05-01 01:15:00+00:00,0.0,17.75
2025-05-01 01:30:00+00:00,0.0,17.8
2025-05-01 01:45:00+00:00,0.0,17.8
2025-05-01 02:00:00+00:00,0.0,17.8
2025-05-01 02:15:00+00:00,0.0,17.75
2025-05-01 02:30:00+00:00,0.0,17.75
2025-05-01 02:45:00+00:00,0.0,17.7
2025-05-01 03:00:00+00:00,0.0,17.65
2025-05-01 03:15:00+00:00,0.0,17.65
2025-05-01 03:30:00+00:00,0.0,17.65
2025-05-01 03:45:00+00:00,0.0,17.65
2025-05-01 04:00:00+00:00,0.0,17.65
2025-05-01 04:15:00+00:00,0.0,17.65
2025-05-01 04:30:00+00:00,0.0,17.65
2025-05-01 04:45:00+00:00,7.999999,17.65
2025-05-01 05:00:00+00:00,30.999992,17.7
2025-05-01 05:15:00+00:00,65.99999,17.75
2025-05-01 05:30:00+00:00,110.999985,17.85
2025-05-01 05:45:00+00:00,159.00003,17.95
2025-05-01 06:00:00+00:00,207.99998,18.0
2025-05-01 06:15:00+00:00,257.0,18.0
2025-05-01 06:30:00+00:00,306.0,18.0
2025-05-01 06:45:00+00:00,358.0,18.0
2025-05-01 07:00:00+00:00,408.0,18.0
2025-05-01 07:15:00+00:00,458.0,18.0
2025-05-01 07:30:00+00:00,507.0,18.05
2025-05-01 07:45:00+00:00,555.0,18.05
2025-05-01 08:00:00+00:00,601.0,18.05
2025-05-01 08:15:00+00:00,645.0,18.05
2025-05-01 08:30:00+00:00,686.0,18.0
2025-05-01 08:45:00+00:00,726.0,17.95
2025-05-01 09:00:00+00:00,764.0,17.95
2025-05-01 09:15:00+00:00,798.0,17.95
2025-05-01 09:30:00+00:00,828.0,18.0
2025-05-01 09:45:00+00:00,856.0,18.0
2025-05-01 10:00:00+00:00,880.0,18.05
2025-05-01 10:15:00+00:00,900.0,18.05
2025-05-01 10:30:00+00:00,917.0,18.05
2025-05-01 10:45:00+00:00,930.0,18.1
2025-05-01 11:00:00+00:00,939.0,18.1
2025-05-01 11:15:00+00:00,945.0,18.1
2025-05-01 11:30:00+00:00,947.0,18.15
2025-05-01 11:45:00+00:00,944.0,18.2
2025-05-01 12:00:00+00:00,938.0,18.2
2025-05-01 12:15:00+00:00,927.0,18.2
2025-05-01 12:30:00+00:00,913.0,18.25
2025-05-01 12:45:00+00:00,895.0,18.25
2025-05-01 13:00:00+00:00,873.0,18.25
2025-05-01 13:15:00+00:00,847.0,18.25
2025-05-01 13:30:00+00:00,819.0,18.25
2025-05-01 13:45:00+00:00,787.0,18.25
2025-05-01 14:00:00+00:00,753.0,18.25
2025-05-01 14:15:00+00:00,715.0,18.25
2025-05-01 14:30:00+00:00,674.0,18.3
2025-05-01 14:45:00+00:00,632.0,18.35
2025-05-01 15:00:00+00:00,587.0,18.35
2025-05-01 15:15:00+00:00,541.0,18.35
2025-05-01 15:30:00+00:00,492.0,18.35
2025-05-01 15:45:00+00:00,440.99997,18.35
2025-05-01 16:00:00+00:00,391.0,18.35
2025-05-01 16:15:00+00:00,339.0,18.35
2025-05-01 16:30:00+00:00,287.0,18.35
2025-05-01 16:45:00+00:00,236.0,18.35
2025-05-01 17:00:00+00:00,188.0,18.35
2025-05-01 17:15:00+00:00,141.00003,18.35
2025-05-01 17:30:00+00:00,97.000015,18.35
2025-05-01 17:45:00+00:00,57.0,18.35
2025-05-01 18:00:00+00:00,24.000002,18.35
2025-05-01 18:15:00+00:00,3.0000005,18.35
2025-05-01 18:30:00+00:00,0.0,18.35
2025-05-01 18:45:00+00:00,0.0,18.35
2025-05-01 19:00:00+00:00,0.0,18.35
2025-05-01 19:15:00+00:00,0.0,18.35
2025-05-01 19:30:00+00:00,0.0,18.35
2025-05-01 19:45:00+00:00,0.0,18.3
2025-05-01 20:00:00+00:00,0.0,18.3
2025-05-01 20:15:00+00:00,0.0,18.25
2025-05-01 20:30:00+00:00,0.0,18.2
2025-05-01 20:45:00+00:00,0.0,18.2
2025-05-01 21:00:00+00:00,0.0,18.15
2025-05-01 21:15:00+00:00,0.0,18.15
2025-05-01 21:30:00+00:00,0.0,18.1
2025-05-01 21:45:00+00:00,0.0,18.1
2025-05-01 22:00:00+00:00,0.0,18.1
2025-05-01 22:15:00+00:00,0.0,18.1
2025-05-01 22:30:00+00:00,0.0,18.05
2025-05-01 22:45:00+00:00,0.0,18.05
2025-05-01 23:00:00+00:00,0.0,18.05
2025-05-01 23:15:00+00:00,0.0,18.1
2025-05-01 23:30:00+00:00,0.0,18.2
2025-05-01 23:45:00+00:00,0.0,18.25
2025-05-02 00:00:00+00:00,0.0,18.3
2025-05-02 00:15:00+00:00,0.0,18.3
2025-05-02 00:30:00+00:00,0.0,18.3
2025-05-02 00:45:00+00:00,0.0,18.25
2025-05-02 01:00:00+00:00,0.0,18.25
2025-05-02 01:15:00+00:00,0.0,18.25
2025-05-02 01:30:00+00:00,0.0,18.25
2025-05-02 01:45:00+00:00,0.0,18.25
2025-05-02 02:00:00+00:00,0.0,18.2
2025-05-02 02:15:00+00:00,0.0,18.1
2025-05-02 02:30:00+00:00,0.0,17.95
2025-05-02 02:45:00+00:00,0.0,17.85
2025-05-02 03:00:00+00:00,0.0,17.75
2025-05-02 03:15:00+00:00,0.0,17.75
2025-05-02 03:30:00+00:00,0.0,17.75
2025-05-02 03:45:00+00:00,0.0,17.8
2025-05-02 04:00:00+00:00,0.0,17.8
2025-05-02 04:15:00+00:00,0.0,17.8
2025-05-02 04:30:00+00:00,0.0,17.8
2025-05-02 04:45:00+00:00,10.000001,17.8
2025-05-02 05:00:00+00:00,33.000004,17.85
2025-05-02 05:15:00+00:00,68.999985,17.9
2025-05-02 05:30:00+00:00,114.99998,18.0
2025-05-02 05:45:00+00:00,163.00003,18.1
2025-05-02 06:00:00+00:00,210.99998,18.15
2025-05-02 06:15:00+00:00,259.0,18.2
2025-05-02 06:30:00+00:00,307.0,18.2
2025-05-02 06:45:00+00:00,358.0,18.2
